name, username, id, followings
Amanda Holpuch, holpuch, 55020165, 3398
Nadja Popovich, PopovichN, 102115921, 6532
Coral Murphy Marcos, coralmerfi, 766294609882406912, 1809
Emma Goldberg, emmabgo, 608616316, 8298
Christine Chung, chrisychung, 883578990, 7165
Jenny Gross, jggross, 116581134, 4084
Neil Vigdor, gettinviggy, 36602046, 5472
Isabella Kwai, BellaKwai, 950864461, 6469
Jeff Mays, JeffCMays, 247410609, 8477
Priya Krishna, priyakrishna, 1289613978, 87329
Stefanos Chen, stefanoschen, 23111612, 5775
jessica testa, jtes, 20121682, 11452
Michael Levenson, mlevenson, 49033103, 9381
Shawn Hubler, ShawnHubler, 2828876503, 4422
Eric Kim, ericjoonho, 939545678514188290, 9799
Emmanuel Morgan, _EmmanuelMorgan, 3578489052, 2587
Jesus Jiménez, jesus_jimz, 147077615, 7979
Julian E. Barnes, julianbarnes, 50406326, 34984
Aman Batheja, amanbatheja, 14716058, 15897
Catie Edmondson, CatieEdmondson, 2235224052, 6856
Ed Shanahan, edkshanahan, 275166412, 741
Soumya, skarlamangla, 244701234, 32064
Liz Day, LizDDay, 65210964, 14533
Luke Broadwater☀️, lukebroadwater, 26756955, 25905
Michael Rothfeld, mrothfeld, 54356940, 7628
Katie Robertson, katie_robertson, 26460562, 12045
Sameer Yasir, sameeryasir, 253086023, 17095
Dana Rubinstein, danarubinstein, 90746345, 26392
Víctor Manuel Ramos, vmramos, 16458072, 7723
María Sánchez Díez, mimapamundi, 19232807, 7082
Charanna Alexander, charannaNYT, 1268537743493214210, 591
Christina Morales, Christina_M18, 825539718293155842, 3006
Carole Sabouraud, CaroleSabouraud, 1100877700204359681, 144
Eleanore Park 박혜주, eleanorehpark, 22118882, 2852
Stella Bugbee, stellabugbee, 56506548, 20635
Karl Delossantos, karl_delo, 75586944, 1142
Charlie Brinkhurst-Cuff, CharlieBCuff, 823186861, 30919
Anatoly Kurmanaev, AKurmanaev, 1017609582, 41829
tiffany harness, harnesst, 19742295, 279
Lananh Nguyen, LananhTNguyen, 316509947, 6608
Jake Lucas, JakeDLucas, 820436168, 394
Mukul Devichand, MukulDevichand, 115599658, 3786
Ryan Mac 🙃, RMac18, 47191293, 66093
Vjosa Isai, LaVjosa, 834558570, 1969
cora engelbrecht, CoraEngelbrecht, 1115643680, 1064
Kara Swisher, karaswisher, 5763262, 1439774
Rebecca Robbins, RebeccaDRobbins, 368158573, 23804
aleissa bleyl, aleissableyl, 546678275, 642
Kellen Browning, Kellen_Browning, 3291679891, 7061
Anjali Singhvi, singhvianjali, 4922237685, 1907
Erin Schaff, erinschaff, 50188272, 33682
Emily Cochrane, ESCochrane, 2293900364, 32790
Jamie Stockwell, jamiestockwell, 16259275, 5103
giovanni russonello, GioRussonello, 2417990774, 3673
Renán Borelli, renan, 14615273, 3304
Nicholas Bogel-Burroughs, NickAtNews, 3171906881, 8486
Lindsey Wiebe, lindseywiebe, 10004672, 7142
Christine Liang, csmliang, 41153566, 771
Sharon Attia, emmasroommate, 3059529677, 375
Priya Arora, thepriyaarora, 1705806702, 2436
Lucky Benson, TheLuckyBenson, 377500935, 357
Jacob Meschke, jacobmeschke, 2796793695, 708
EverQueen Mason, EverdeenMason, 36672071, 3620
Mara Gay, MaraGay, 38428725, 132569
Amy Julia Harris, amyjharris, 110371258, 6087
Mike Baker, ByMikeBaker, 178065733, 86674
New York Times Arts, nytimesarts, 1440641, 2708813
isabella grullón paz, igrullonpaz, 1880511938, 3074
Ruth Maclean, ruthmaclean, 21454129, 21463
Apoorva Mandavilli, apoorva_nyc, 29780473, 57821
Lauretta Charlton, laurettaland, 154358443, 9987
Jason DeParle, JasonDeParle, 312206488, 2892
Sarah Kliff, sarahkliff, 19734832, 153719
Jill Cowan, JillCowan, 356001513, 8686
Sarah Kerr, sskerrr, 575819005, 1296
Taylor Lorenz--- AWAY ON BOOK LEAVE, TaylorLorenz, 208725869, 246041
Zolan Kanno-Youngs, KannoYoungs, 1059273936, 25079
Tariro Mzezewa, tariro, 228177391, 7125
Kurt Streeter, kurtstreeter, 18998006, 5838
Fahim Abed, fahimabed, 332746236, 16910
Anupreeta Das, PreetaTweets, 21907474, 15968
cganz, mehpatrol, 128400813, 6054
Mark Scheffler, markscheffler, 46920136, 5170
Malachy Browne, malachybrowne, 23583267, 27364
Steven Kurutz, skurutz, 130826610, 2062
Sean Plambeck, SeanPlambeck, 1116792048, 589
Scott Dodd, scottdodd, 15740362, 4534
Eliza Shapiro, elizashapiro, 119478339, 39944
Lisa Lerer, llerer, 12670512, 31873
Tejal Rao, tejalrao, 44393707, 33346
Ali Watkins, AliWatkins, 146252766, 38642
Lindsey Rogers Cook, Lindzcook, 133751142, 3200
Sheila Kaplan, BySheilaKaplan, 86454370, 6480
Jesse Drucker, JesseDrucker, 322658160, 15374
Reed Abelson, ReedAbelson, 1102019810, 11923
Lindsey Underwood, thunderwooddd, 24260945, 9303
Emma Bubola, EmmaBubola, 2291292169, 1137
Jesse Pesta, JessePesta, 180779399, 9547
Randy Pennell, randypennell, 183777696, 456
Daisuke Wakabayashi, daiwaka, 14805740, 22383
Vivian Wang, vwang3, 121590611, 13547
Jake Grovum, jgrovum, 16115811, 5134
Carlos Tejada, CRTejada, 36974383, 18336
Ben Smith, benyt, 9532402, 343585
Ben Dooley, BenjaminDooley, 305130750, 5443
Sui-Lee Wee 黄瑞黎, suilee, 97650875, 94006
Matina Stevis-Gridneff, MatinaStevis, 97268285, 73798
New York Times World, nytimesworld, 1877831, 2119174
Maria Cramer, NYTimesCramer, 140897494, 9340
Peter Eavis, uwsgeezer, 926235704769892352, 3530
David Enrich, davidenrich, 185270017, 56288
Mary Williams Walsh, marywalshjourno, 1314147391, 2274
Keith Collins, collinskeith, 29362876, 3987
Johnny Diaz, johnnydiaz__, 130297768, 2764
New York Times Run Club, timesrunclub, 1116562680607846400, 879
Christopher Flavelle, cflav, 242893326, 17516
Aimee Ortiz, aimee_ortiz, 373214555, 2316
Sandra E. Garcia, S_Evangelina, 379248303, 20998
Shane Goldmacher, ShaneGoldmacher, 23232204, 73310
Kashmir Hill, kashhill, 25160944, 269302
Anton Troianovski, antontroian, 76773876, 23964
Kyle Buchanan, kylebuchanan, 33466150, 59045
NYT Sports, NYTSports, 1766701, 99796
Elian Peltier, ElianPeltier, 176478023, 6243
erin griffith, eringriffith, 16261707, 74703
Emily Flitter, FlitterOnFraud, 624774427, 18681
Gillian Wong / 黄敬龄, gillianwong, 15848824, 76465
Natalie Kitroeff, Nataliekitro, 332617059, 27144
Caitlin Roper, caitlinroper, 65426385, 9479
Alan Yuhas, AlanYuhas, 634700211, 3664
Ellen Gabler, egabler, 19033743, 5240
Andrew LaVallee, andrewlavallee, 813213, 29095
Katie Glueck, katieglueck, 154985728, 31797
Reid J. Epstein, reidepstein, 18772897, 40849
T Magazine, tmagazine, 14575107, 1751249
The Weekly, TheWeekly, 1098649631129591808, 14859
Jessica Grose, JessGrose, 22500188, 25611
NYT Parenting, NYTParenting, 1055824363713376257, 13884
Carol Rosenberg, carolrosenberg, 32129142, 34374
Privacy Project, PrivacyProject, 1110916901310480390, 23227
Annie Karni, anniekarni, 309282144, 146644
Chris Hamby, ChrisDHamby, 196267596, 6406
Nick Casey, caseysjournal, 1611486986, 58439
Hannah Beech, hkbeech, 2354090664, 14909
juliana barbassa, jbarbassa, 22319206, 10491
Katie Benner, ktbenner, 73194395, 79409
Jennifer Valentino-DeVries, jenvalentino, 35757252, 14163
gabriel dance, gabrieldance, 21425450, 12060
Jorge Arangure, jorgearangure, 40144962, 17823
Jack Nicas, jacknicas, 17892496, 31155
John Ismay, johnismay, 637378580, 11900
NYT Elections, nytelections, 872977913250971650, 1133
Veronica Chambers, vvchambers, 275541233, 8902
Kirsten Danis, kirstendanis, 18284987, 3638
𝚍𝚘𝚍𝚊𝚒 𝚜𝚝𝚎𝚠𝚊𝚛𝚝, dodaistewart, 30752163, 52753
Azi™️, Azi, 15264675, 35235
Ching-Ching Ni, ccni, 44516132, 9167
Li Yuan, LiYuan6, 394797065, 36978
Raymond Zhong, zhonggg, 212167191, 7674
NYT Fashion, NYTFashion, 16929349, 954951
Christina Goldbaum, cegoldbaum, 1051208190, 9162
Karen Weise, KYWeise, 135758100, 9189
suhasini raj, suhasiniraj, 68167553, 10725
Nicholas Fandos, npfandos, 782806500, 33895
Sheera Frenkel, sheeraf, 20052487, 66057
Kim Murphy, kimmurphy, 19387386, 5832
Michael Keller, mhkeller, 21634541, 7065
Caity Weaver, caityweaver, 191332968, 72631
MJ Franklin, heyitsfranklin2, 228914150, 12502
Kevin Roose, kevinroose, 18816166, 156664
Cecilia Kang, ceciliakang, 16317567, 46389
Maria Abi-Habib, Abihabib, 219017382, 54208
Bedel Saget, BedelSaget, 588608640, 730
Ivan Nechepurenko, INechepurenko, 202333867, 10673
tariq panja, tariqpanja, 63450028, 66913
Matt Futterman, MattFutterman, 87570309, 4933
Ivan Penn, ivanlpenn, 72928579, 5296
Thomas Fuller, thomasfullerNYT, 430697990, 19062
Patricia Mazzei, PatriciaMazzei, 20083388, 31711
Jesse Green, JesseKGreen, 472246750, 6953
Louis Lucero II, Louis_II, 18992876, 2617
Anna Dubenko, AnnaDubenko, 43578692, 5345
Astead, AsteadWesley, 362111287, 234539
Elizabeth Dias, elizabethjdias, 177336591, 30832
Katie Van Syckle, KatieVanSyckle, 191580969, 2528
Lauren Katzenberg, Lkatzenberg, 40945798, 18972
Tina Jordan, TinaJordanNYT, 2329065619, 14740
Matt Stevens, ByMattStevens, 319323976, 8327
Nellie Bowles, NellieBowles, 290890104, 58143
Jonah Bromwich, Jonesieman, 20636428, 8876
Jessica Bennett, jessicabennett, 18149142, 30990
Rebecca Blumenstein, RBlumenstein, 598818721, 14898
Taffy Brodesser-Akner, taffyakner, 27444772, 85322
Jia Lynn Yang, jialynnyang, 85615231, 17829
Johanna Barr, johannabarr, 15187701, 6273
Kevin Draper, kevinmdraper, 321411692, 12545
Jan vaxxed & still masked-up Ransom, Jan_Ransom, 234631693, 6682
megan twohey, mega2e, 2598231787, 63304
Ben Casselman, bencasselman, 16319594, 68488
Jim Tankersley, jimtankersley, 133947893, 42755
Thomas Gibbons-Neff, Tmgneff, 439804287, 47327
Deborah B. Solomon, deborah_solomon, 70725642, 7193
Luis Ferré-Sadurní, luisferre, 974233430, 10272
Alexandria Symonds, a_symonds, 272279631, 3146
Ana Swanson, AnaSwanson, 17647477, 21431
Reggie Ugwu, uugwuu, 78956001, 12915
Flynn Stays In, AustenProject, 67348002, 1168
Catherine Porter, porterthereport, 21761071, 12911
Michael Wines, miwine, 101518784, 1881
Marc Santora, MarcSantoraNYT, 106768353, 2519
Audra Burch, abscribe, 75129245, 6431
Livia Albeck-Ripka, livia_ar, 26511235, 4578
Eileen Sullivan, esullivannyt, 19125732, 5084
Rich Harris, Rich_Harris, 19487837, 51986
Marie Tae McDermott, marzietae, 26405276, 1314
Lisa Friedman, LFFriedman, 30927826, 44498
Kenneth P. Vogel, kenvogel, 112526560, 119371
Brian M. Rosenthal, brianmrosenthal, 22089567, 23464
Mark Scott, markscott82, 388947237, 16849
Rory Smith, RorySmith, 137811467, 223979
brad plumer, bradplumer, 15507433, 43986
Peter S. Goodman, petersgoodman, 132630502, 14532
Mujib Mashal, MujMash, 252411597, 173165
Margaret Lyons, margeincharge, 14065750, 17576
Caitlin Dickerson, itscaitlinhd, 390170244, 50819
Miriam Jordan, mirjordan, 372951044, 16701
Raphael Minder, RaphaelMinder, 368305315, 18605
Sapna Maheshwari, sapna, 29054836, 37624
Adam Goldman, adamgoldmanNYT, 21534951, 159284
Amy Fiscus, amyfiscus, 14540264, 20289
Erica L. Green, EricaLG, 22283200, 38892
Linda Qiu, YLindaQiu, 1563531902, 5130
fahima, fahima_haque, 126164853, 5480
The Sweethome, homesweethome, 1099960304, 25575
Wirecutter, wirecutter, 366309158, 117035
Dana Goldstein, DanaGoldstein, 15335662, 42077
Patrick Kingsley, PatrickKingsley, 90464160, 49377
Sopan Deb, SopanDeb, 48120914, 176484
Glenn Thrush, GlennThrush, 19107878, 339584
Bill Hamilton, hamiltonbill, 114551426, 2089
Megan Specia, meganspecia, 52557443, 14059
Morrigan McCarthy, MorriganMcC, 32930870, 4362
erin mccann |, mccanner, 42313640, 18126
Quoctrung Bui, qdbui, 16292617, 4902
Lance Booth, lancekbooth, 54408374, 2635
NYT Reader Center, readercenter, 710185547281637379, 11269
Matt Purdy, mattbpurdy, 453220823, 7680
Niraj Chokshi, NirajC, 17553400, 9051
James Wagner, ByJamesWagner, 16832435, 24414
Amanda Taub, amandataub, 156019120, 21539
Max Fisher, Max_Fisher, 17060020, 136439
John Herrman, jwherrman, 27941766, 24959
Amanda Hess, amandahess, 16222904, 58765
Azam Ahmed, azamsahmed, 3286608716, 29419
Benjamin Weiser, BenWeiserNYT, 4070425990, 18193
Wesley Morris, Wesley_Morris, 59815702, 97183
Twitter Moments, TwitterMoments, 3260518932, 804977
James Poniewozik, poniewozik, 23480093, 104383
Michael Gold, migold, 14403440, 17985
gregwinterNYT, gregfwinter, 2541855991, 3334
Meredith Levien, meredith_levien, 83982039, 10618
Mike McIntire, mmcintire, 28576863, 21089
Mikayla Bouchard, MikaylaBouchard, 249996517, 4246
Ida Bae Wells, nhannahjones, 25598396, 625470
Todd Gregory, ToddGregory, 20754633, 2449
Jazmine Hughes, jazzedloon, 231278352, 43352
Tom WP, tomwp, 1714371, 2558
Anya Strzemien, astrzemien, 303049260, 3952
Laurie Kawakami, lauriekawakami, 1177511551, 2971
Carla Correa, pinkgrammar, 18909502, 8643
Pui-Wing Tam, puiwingtam, 1634629316, 24240
Noam Scheiber, noamscheiber, 249469549, 29094
Francesca Donner, FrancescaDonner, 431907614, 4790
stephanie saul, stefsaul, 522411976, 4464
Gilbert Cruz, gilbertcruz, 30893145, 12163
Billy Witz, billywitz, 37517055, 3378
Rachel Dry, rachel_dry, 121444458, 4632
Alex Burns, alexburnsNYT, 79743108, 224418
NYTimes en Español, nytimeses, 2975678883, 578488
Maggie Haberman, maggieNYT, 93069110, 1703627
Wayne Kamidoi, waynekamidoi, 27365410, 2140
Emily Brennan, BrennanEm, 385974828, 2806
Joumana Khatib, joumana_khatib, 886943270, 5564
Jessica Anderson, jesslanderson, 34443638, 2155
NYT Metro, NYTMetro, 15222806, 146404
Nate Schweber, nateschweber, 61579132, 2800
Nicole Herrington, nikkih04, 26775719, 4247
Joe Coscarelli, joecoscarelli, 17768720, 24089
Francesca Barber, francescab, 152970237, 2329
Michelle L. Dozois, michelledozois, 16296246, 4028
Sam Manchester, SaManchester, 505246911, 1823
willy 💧, willystaley, 17974586, 18878
Luke Mitchell, ByLukeMitchell, 115150175, 3009
Sasha Weiss, sashagila, 106637099, 10893
Taylor Adams, TaylorAdams, 17606534, 1177
Jeannie Choi, jeanniechoi, 17489136, 2261
Arí Isaacman, Ari_Isaacman, 1167842311, 4861
Caryn A. Wilson, CarynAWilson, 75170129, 2996
tannercurtis, tannercurtis, 14546892, 6501
Eric Thayer, ericthayer, 22399352, 2756
Charles Homans, chashomans, 48407302, 7220
Mike Abrams, mikeabramsnyt, 42976117, 3081
Elisabeth Malkin, ElisabethMalkin, 495403231, 7001
Julia Simon, Julseas, 3671721, 2502
Jill Agostino, jillagostino, 130539186, 1773
Hannah Poferl, HannahPoferl, 67521901, 2932
Zachary Woolfe, zwoolfe, 38455115, 12659
Jason Zinoman, zinoman, 47408194, 13506
Aurélien Breeden, aurelienbrd, 299294766, 4744
Sheri Fink, sherifink, 217530555, 19587
Liriel Higa, iDiplomacy, 78728798, 4776
Gregory Schmidt, GregoryNYC, 93197442, 2425
penelope green, greenpnyt, 523692041, 3495
Paul Mozur 孟建國, paulmozur, 76347918, 50606
Emily Bazelon, emilybazelon, 28708146, 97967
Mitch Smith, MitchKSmith, 65391293, 9180
Mike Hale, mikehalenyt, 17539807, 3729
Joe Kahn, nycscribe, 191134282, 6648
Rod Nordland, rodnordland, 34374040, 11606
Derek Watkins, dwtkns, 352644923, 4730
Alex MacCallum, alexmaccallum, 157735379, 3616
Jessica Dimson, jessdimson, 2571084145, 2168
Stephanie Goodman, sgoood, 27885663, 2397
Jon Galinsky, JonGalinsky, 277003842, 1333
The New York Times Archives, NYTArchives, 2432213029, 70251
Jim Luttrell, jimluttrell, 23214542, 1609
Christopher Mele, MeleChristopher, 616360824, 3524
mona el-naggar, monaelnaggar, 7595142, 7005
chris wiggins (he/him/his), chrishwiggins, 57187580, 6359
Theodore Kim, TheoTypes, 39800279, 13085
Valeriya Safronova, vsaffron, 51325165, 2910
Ernesto Londoño, londonoe, 34245699, 17292
julieturkewitz, julieturkewitz, 249950657, 21681
NYT Forecasts, NYTForecasts, 2446261508, 2750
Sydney Ember, melbournecoal, 29986482, 19956
Haeyoun Park, haeyoun, 28622579, 2355
Daniel Fromson, dfroms, 257553765, 2523
Christina Caron, cdcaron, 15576754, 3526
katie rosman, katierosman, 18083797, 33634
Kenneth Chang, kchangnyt, 2463358249, 9599
Amy Qin, amyyqin, 145711769, 52395
Kellen Henry, kellenhenry, 14315631, 1640
Manny Fernandez, mannyNYT, 554205029, 12044
David Philipps, David_Philipps, 266136066, 9628
Herbert Buchsbaum, herbertnyt, 2317824895, 5530
Ruth Fremson, rfremson, 19491536, 2457
ben protess, benprotess, 99655992, 2309
Patrick J. Lyons, patlyonsnyt, 2559729506, 3131
Christoph Fuhrmans, CFuhrmans, 399201012, 2761
Ceylan Yeginsu, CeylanWrites, 118713871, 47885
Bill Wasik, billwasik, 16809794, 8822
Steven McElroy, stevenmcelroy, 46799665, 1142
Alexandra Alter, xanalter, 77056184, 14472
Blue Subscription, bluesubcription, 2530077547, 9875
Ken Belson, el_belson, 1138559328, 3935
rat king, MikeIsaac, 19040598, 172630
Conor Dougherty, ConorDougherty, 105534413, 16627
Andrew E. Kramer, AndrewKramerNYT, 399452621, 9317
Ian Trontz, IanTrontz, 385052743, 4154
NYT Now, NYTNow, 1872590082, 21053
Margot Sanger-Katz, sangerkatz, 370113964, 52569
Emily Steel, emilysteel, 7433772, 61904
Kim Barker, Kim_Barker, 24146296, 14183
Richard Fausset, RichardFausset, 306527400, 9244
Dan Levin, globaldan, 17995528, 6364
marc tracy, marcatracy, 61108556, 13960
Brent Staples, BrentNYT, 2439177534, 50454
Anthony Tommasini, TommasiniNYT, 2478792504, 9565
Karen Workman, KarenWorkman, 127954611, 3637
Matt Twomey, Matt_Twomey, 1170234294, 1754
Kathleen A Flynn, flynnkaNYT, 2382608569, 2422
sean alfano, sjalfano, 453409807, 1445
Douglas Alteen, doug_alteen_nyt, 437860349, 2913
Julie Davis, juliehdavis, 237477771, 129259
Alexandra Jacobs, AlexandraJacobs, 353847680, 11575
Katie Rogers, katierogers, 14116915, 75199
Alan Rappeport, arappeport, 14480378, 26000
Dionne Searcey, dionnesearcey, 257142675, 12912
Jake Silverstein, jakesilverstein, 21056978, 31965
Bruce Levine, brucenytimes, 2358244638, 753
Alicia Parlapiano, aliciaparlap, 633166200, 4500
William J. Broad, WilliamJBroad, 315142011, 6281
Rick Rojas, RaR, 18916926, 11076
Vanessa Friedman, VVFriedman, 28175824, 176365
Peter Catapano, petercatapano, 20454297, 2909
Jaime Swanson, Jaime_Elizabeth, 15990038, 2142
Adeel Hassan, adeelnyt, 2343678498, 3658
Andrew Keh, andrewkeh, 39379075, 10712
Rukmini Callimachi, rcallimachi, 30699754, 372921
Josh Katz, jshkatz, 1427982906, 8122
Samantha Stark, starksamantha, 71320032, 10416
Alan Blinder, alanblinder, 33391760, 19252
Mike Forsythe  傅才德, PekingMike, 217304598, 177140
Eric Lipton, EricLiptonNYT, 375662595, 182085
Russell Goldman, GoldmanRussell, 20156726, 3551
Royal, aroyalbox, 935171022, 2594
Austin Ramzy, austinramzy, 45808079, 112333
Jessica Lustig, jessicalustig, 76343911, 14734
Jill Rayfield, jillrayfield, 62032351, 2531
(⌐⊙_⊙), daviderwin, 17367664, 855
Joe Hart, _joeybones, 828068090, 2040
sobia, sobiaali, 15611246, 2303
Deep Kapadia, durple, 9797342, 992
Jessica Kosturko (she/her), JessicaKosturko, 958412792, 760
mlouttit, mlouttit, 12594742, 2435
Véronique Brossier, v3ronique, 17877879, 1829
torbennyc, torbennyc, 16951059, 546
Mark Paul Keefe, mpkeefe, 29375506, 658
Matt Ruby, matthew_ruby, 97682949, 971
Lian Chang, lianbeans, 2351831, 920
Daniel Jones, danjonesnyt, 1858027897, 13578
Joel Petterson, j_petter, 47769497, 1330
Andrew Stanfill, madshrew, 18950645, 2591
Stephen Castle, _StephenCastle, 336020675, 6297
Suzanne Daley, suzannedaley, 255944294, 1642
Adam Fusfeld, afusfeld, 199020514, 2072
Michael Corkery, mcorkery5, 132241885, 5561
Annie Correal, anniecorreal, 48023374, 11231
Chris Buckley 储百亮, ChuBailiang, 19383099, 169577
John Koblin, koblin, 37269308, 19042
Neil Irwin, Neil_Irwin, 156016878, 91651
Carlotta Gall, carlottagall, 234087403, 18828
Matt Apuzzo, mattapuzzo, 15586316, 32947
Nikita Stewart, kitastew, 51229210, 8975
Jennifer Szalai, jenszalai, 267308226, 19482
Mark Mazzetti, MarkMazzettiNYT, 168684891, 68465
NYT 4th Down Bot, NYT4thDownBot, 1977579223, 22904
